NAME                                VERSION            TYPE           
acl-libs                            2.3.2-r1           apk             
alpine-baselayout                   3.7.2-r1           apk             
alpine-baselayout-data              3.7.2-r1           apk             
alpine-keys                         2.6-r0             apk             
alpine-release                      3.24.1-r0          apk             
aom-libs                            3.14.1-r0          apk             
apache2-utils                       2.4.68-r0          apk             
apk-tools                           3.0.6-r0           apk             
apr                                 1.7.6-r0           apk             
apr-util                            1.6.3-r2           apk             
argon2-libs                         20190702-r5        apk             
aziraphale/email-address-validator  2.0.1              php-composer    
bash                                5.3.9-r1           apk             
brotli-libs                         1.2.0-r1           apk             
busybox                             1.37.0-r31         apk             
busybox-binsh                       1.37.0-r31         apk             
c-ares                              1.34.8-r0          apk             
ca-certificates                     20260611-r0        apk             
ca-certificates-bundle              20260611-r0        apk             
catatonit                           0.2.1-r0           apk             
composer                            2.10.2             binary          
coreutils                           9.11-r0            apk             
coreutils-env                       9.11-r0            apk             
coreutils-fmt                       9.11-r0            apk             
coreutils-sha512sum                 9.11-r0            apk             
curl                                8.21.0-r0          apk             
fftw-double-libs                    3.3.11-r0          apk             
findutils                           4.10.0-r1          apk             
fontconfig                          2.17.1-r1          apk             
freetype                            2.14.3-r0          apk             
fribidi                             1.0.16-r3          apk             
gdbm                                1.26-r0            apk             
geshi/geshi                         dev-master         php-composer    
git                                 2.54.0-r0          apk             
git-init-template                   2.54.0-r0          apk             
glib                                2.88.1-r1          apk             
graphite2                           1.3.14-r6          apk             
harfbuzz                            13.2.1-r0          apk             
imagemagick                         7.1.2.24-r0        apk             
imagemagick-jpeg                    7.1.2.24-r0        apk             
imagemagick-libs                    7.1.2.24-r0        apk             
imagemagick-webp                    7.1.2.24-r0        apk             
jq                                  1.8.1-r0           apk             
kissifrot/php-ixr                   dev-dokuwiki       php-composer    
lcms2                               2.19-r0            apk             
libapk                              3.0.6-r0           apk             
libattr                             2.5.2-r2           apk             
libavif                             1.4.1-r0           apk             
libblkid                            2.42.1-r0          apk             
libbsd                              0.12.2-r0          apk             
libbz2                              1.0.8-r6           apk             
libcrypto3                          3.5.7-r0           apk             
libcurl                             8.21.0-r0          apk             
libdav1d                            1.5.3-r0           apk             
libeconf                            0.8.3-r0           apk             
libedit                             20260508.3.1-r1    apk             
